seed,file,name_presence,location_presence,rating_presence,price_presence,duration_presence,all5_presence
43,tourist_html/traveloka-1024.html,100,100,100,100,100,100
43,tourist_html/viator-0103.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1072.html,100,100,100,100,100,100
43,tourist_html/klook-1715.html,100,100,100,100,0,0
43,tourist_html/tourradar-0002.html,100,0,100,100,100,0
43,tourist_html/tourradar-0096.html,100,0,100,100,100,0
43,tourist_html/traveloka-1601.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1092.html,100,100,100,100,100,100
43,tourist_html/klook-1390.html,100,0,0,100,100,0
43,tourist_html/klook-0530.html,100,100,100,100,100,100
43,tourist_html/klook-0717.html,100,100,100,100,0,0
43,tourist_html/getyourguide-1118.html,100,100,100,100,0,0
43,tourist_html/klook-0701.html,100,100,100,100,0,0
43,tourist_html/tourradar-1971.html,100,0,100,100,100,0
43,tourist_html/klook-1431.html,100,100,100,100,100,100
43,tourist_html/tourradar-0074.html,100,0,100,100,100,0
43,tourist_html/getyourguide-0049.html,100,100,100,100,100,100
43,tourist_html/tourradar-0372.html,100,0,100,100,100,0
43,tourist_html/traveloka-1252.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0560.html,100,100,100,100,100,100
43,tourist_html/klook-0764.html,100,100,0,100,100,0
43,tourist_html/viator-0815.html,100,100,100,100,100,100
43,tourist_html/traveloka-0048.html,100,100,100,100,0,0
43,tourist_html/viator-0138.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1447.html,100,100,100,100,100,100
43,tourist_html/traveloka-0836.html,100,100,100,100,100,100
43,tourist_html/traveloka-1388.html,100,100,100,100,0,0
43,tourist_html/viator-0534.html,100,100,100,100,100,100
43,tourist_html/tourradar-0241.html,100,0,100,100,100,0
43,tourist_html/tourradar-1154.html,100,0,100,100,100,0
43,tourist_html/tourradar-1188.html,100,0,100,100,100,0
43,tourist_html/tourradar-1439.html,100,0,100,100,100,0
43,tourist_html/viator-1163.html,100,100,100,100,100,100
43,tourist_html/tourradar-1073.html,100,0,100,100,100,0
43,tourist_html/traveloka-0435.html,100,100,100,100,0,0
43,tourist_html/klook-0841.html,100,100,100,100,0,0
43,tourist_html/klook-0619.html,100,100,100,100,0,0
43,tourist_html/klook-1353.html,100,100,100,100,100,100
43,tourist_html/viator-1855.html,100,100,100,100,100,100
43,tourist_html/tourradar-0809.html,100,100,100,100,100,100
43,tourist_html/viator-0881.html,100,100,100,100,100,100
43,tourist_html/viator-1456.html,100,100,100,100,100,100
43,tourist_html/klook-1690.html,100,100,0,100,0,0
43,tourist_html/tourradar-1126.html,100,0,100,100,100,0
43,tourist_html/getyourguide-0423.html,100,100,100,100,100,100
43,tourist_html/viator-0183.html,100,100,100,100,100,100
43,tourist_html/klook-1970.html,100,0,100,100,100,0
43,tourist_html/tourradar-1967.html,100,0,100,100,100,0
43,tourist_html/viator-1700.html,100,100,100,100,100,100
43,tourist_html/tourradar-0561.html,100,0,100,100,100,0
43,tourist_html/traveloka-0276.html,100,100,100,100,0,0
43,tourist_html/viator-1976.html,100,100,100,100,100,100
43,tourist_html/traveloka-1620.html,100,100,100,100,100,100
43,tourist_html/tourradar-0415.html,100,0,100,100,100,0
43,tourist_html/traveloka-0948.html,100,100,100,100,100,100
43,tourist_html/tourradar-0137.html,100,0,100,100,100,0
43,tourist_html/getyourguide-1616.html,100,100,100,100,100,100
43,tourist_html/klook-0873.html,100,100,100,100,100,100
43,tourist_html/klook-0283.html,100,100,100,100,100,100
43,tourist_html/viator-0377.html,100,100,100,100,100,100
43,tourist_html/traveloka-1875.html,100,100,100,100,0,0
43,tourist_html/getyourguide-1267.html,100,100,100,100,100,100
43,tourist_html/klook-1107.html,100,100,100,100,100,100
43,tourist_html/viator-1196.html,100,100,100,100,100,100
43,tourist_html/traveloka-0179.html,100,100,100,100,100,100
43,tourist_html/tourradar-1017.html,100,0,100,100,100,0
43,tourist_html/viator-0148.html,100,100,100,100,100,100
43,tourist_html/klook-0645.html,100,100,100,100,100,100
43,tourist_html/viator-0430.html,100,100,100,100,100,100
43,tourist_html/tourradar-0323.html,100,0,100,100,100,0
43,tourist_html/viator-1373.html,100,100,100,100,100,100
43,tourist_html/viator-1480.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1681.html,100,100,100,100,100,100
43,tourist_html/traveloka-1572.html,100,100,100,100,100,100
43,tourist_html/tourradar-1612.html,100,0,100,100,100,0
43,tourist_html/getyourguide-1657.html,100,100,100,100,100,100
43,tourist_html/viator-1126.html,100,100,100,100,100,100
43,tourist_html/tourradar-0931.html,100,0,100,100,100,0
43,tourist_html/tourradar-0676.html,100,0,100,100,100,0
43,tourist_html/tourradar-1037.html,100,0,100,100,100,0
43,tourist_html/traveloka-1341.html,100,100,100,100,100,100
43,tourist_html/viator-0618.html,100,100,100,100,100,100
43,tourist_html/tourradar-0844.html,100,0,100,100,100,0
43,tourist_html/traveloka-0913.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1996.html,100,100,100,100,100,100
43,tourist_html/viator-1082.html,100,100,100,100,100,100
43,tourist_html/traveloka-1391.html,100,100,100,100,100,100
43,tourist_html/traveloka-1657.html,100,100,100,100,0,0
43,tourist_html/tourradar-1365.html,100,0,100,100,100,0
43,tourist_html/tourradar-1228.html,100,0,100,100,100,0
43,tourist_html/viator-0647.html,100,100,100,100,100,100
